0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;20_похожих
Джон Уик 4;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.615;1267348;John Wick: Chapter 4;7.6;8.2;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Кровавый спорт;Боевик (Экшен);Приключения;Криминальный;Классика (до 2000 года);7.336;4777;Bloodsport;6.8;5.1;;;;;;;;;;;;;;;;;;;;"Зеленые цепочки;Форсаж 9;Доспехи бога 3: Миссия Зодиак;Бедуин;Доспехи Бога;Осьминожки;Наемник;Великолепная семерка;Живи и дай умереть;На секретной службе ее Величества;Осьминожка;Дневной свет;Прыжок богомола;Ниндзя 2;Святой;В смертельной опасности;Пассажир 57;Другие 48 часов;Леон;Игра смерти"
Сверхлюди;Боевик (Экшен);Фантастика;Супергеройский;Новинки (2020–2025);5.235;843736;Inhumans;4.9;0;;;;;;;;;;;;;;;;;;;;"Чудо-женщина: 1984;Человек-паук: Через вселенные;Человек-паук: Нет пути домой;Лига справедливости Зака Снайдера;Флэш;Черная Вдова;Черепашки-ниндзя: Погром мутантов;Майор Гром;Отряд самоубийц: Миссия навылет;Майор Гром: Чумной Доктор;Удар молнии;Воины света;Бессмертная гвардия;Черная Пантера: Ваканда навеки;Жил-был Дэдпул;Суперкоманда;Черный Адам;Веном 2;Проект Power;Хищные птицы: Потрясающая история Харли Квинн"
Вид на убийство;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);6.791;6915;A View to a Kill;6.3;4.8;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Враг государства;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Завтра не умрет никогда;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Миссия Невыполнима: Протокол Фантом;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);7.28;472362;Mission: Impossible - Ghost Protocol;7.4;7.7;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Миссия: невыполнима 3;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка;Квант милосердия"
RRR: Рядом ревёт революция;Боевик (Экшен);Исторический;Военный;Новинки (2020–2025);7.992;1115117;RRR;7.8;8.3;;;;;;;;;;;;;;;;;;;;"RRR: Рядом ревет революция;13 убийц;Шаолинь;Тень;Железный рыцарь;Меч дракона;Последние рыцари;22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Вне зоны доступа;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели"
Сильнейший удар: Бой до смерти;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.66;5469;Shootfighter: Fight to the Death;5.5;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Хантер киллер;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.451;589787;Hunter Killer;6.6;4.8;;;;;;;;;;;;;;;;;;;;"300 спартанцев;300 спартанцев: Расцвет империи;Охотник;Рэмбо IV;Неудержимые;Отряд особого назначения;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
Танго и Кэш;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.264;2694;Tango & Cash;6.4;4.4;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Люди Икс 2;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.56;298;X2;7.4;7.5;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Король неба;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);7.074;5106374;Chang kong zhi wang;5.8;5.5;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели;Единичка;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд;Последнее испытание"
Осада;Боевик (Экшен);Триллер;Военный;Классика (до 2000 года);6.664;7394;The Siege;6.4;5.7;;;;;;;;;;;;;;;;;;;;"Самолет президента;Падение Олимпа;Олимпиус Инферно;Пассажир 57;Миротворец;Скала;Голдфингер;Враг государства;Крепкий орешек 3: Возмездие;Скорость;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Исчезающая точка;Золотой глаз;Воздушный маршал;Рок;Долгий поцелуй на ночь;В осаде"
Человек из стали;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.936;252667;Man of Steel;7.1;6.2;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Связь;Боевик (Экшен);Фантастика;Фантастический;Новинки (2020–2025);6.983;760829;Coherence;7.2;7.3;;;;;;;;;;;;;;;;;;;;"Крепость на колесах;Временная петля;Добыча;Годзилла против Конга;Время возмездия;Битва за Землю;G.I. Joe: Бросок кобры. Снейк Айз;Смертельная зона;Узники страны призраков;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Хищник;Живая сталь;Чистилище;Трансформеры;Хардкор;Бегущий человек;Безумный Макс;Армагеддец"
Тень;Боевик (Экшен);Исторический;Военный;Современное кино (2000–2020);7.338;3509;The Shadow;6.1;4.6;;;;;;;;;;;;;;;;;;;;"13 убийц;Шаолинь;Железный рыцарь;Меч дракона;Последние рыцари;RRR: Рядом ревет революция;RRR: Рядом ревёт революция;Бродяга Кэнсин;Дом летающих кинжалов;Бродяга Кэнсин: Великий киотский пожар;Затойчи;Братство клинков;300 спартанцев;300 спартанцев: Расцвет империи;Ип Ман;Охотник;Рэмбо IV;Неудержимые;ЗащитнеГ;Скиф"
Иллюзия обмана 2;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.804;786958;Now You See Me 2;6.4;4.9;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Неудержимые;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.909;432550;The Expendables;6.4;5.3;;;;;;;;;;;;;;;;;;;;"300 спартанцев;300 спартанцев: Расцвет империи;Охотник;Рэмбо IV;Хантер киллер;Отряд особого назначения;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
Чужестранец;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.087;8313;The Stranger;7.3;7.8;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Игра без правил;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.58;448239;Fair Game;6.8;6.9;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Никто не узнает;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.562;1114939;;0;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва;День ангела"
Охотник;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.824;1138992;Manhunt;7.6;0;;;;;;;;;;;;;;;;;;;;"300 спартанцев;300 спартанцев: Расцвет империи;Рэмбо IV;Неудержимые;Хантер киллер;Отряд особого назначения;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
ЗащитнеГ;Боевик (Экшен);Драма;Военный;Современное кино (2000–2020);6.733;427138;Defendor;6.7;6.2;;;;;;;;;;;;;;;;;;;;"Дракон;Никогда не сдавайся;Не сдавайся;Подземка;Аппалуза;Путь воина;Никогда не сдавайся 3;Бой с тенью;Бой с тенью 3D: Последний раунд;Бой с тенью 2: Реванш;Никогда не сдавайся 2;300 спартанцев;300 спартанцев: Расцвет империи;Ип Ман;13 убийц;Охотник;Шаолинь;Рэмбо IV;Тень;Неудержимые"
Мортал Комбат;Боевик (Экшен);Фэнтези;Фантастический;Новинки (2020–2025);6.167;8062;Mortal Kombat;6.1;5.5;;;;;;;;;;;;;;;;;;;;"Восточный ветер 4: Легенда о Воине;Смертельная битва;Охота на Санту;Железный рыцарь 2: Кровная месть;Манускрипт ниндзя;Наруто 9: Путь ниндзя;Воин ветра;Запретное царство;Настоящая легенда;Бунраку;Великая стена;Медальон;Смертельная битва 2: Истребление;Царь скорпионов 4: Утерянный трон;Шан-Чи и легенда десяти колец;Шан-Чи и легенда Десяти колец;Секретная служба Санта-Клауса;Тор: Любовь и гром;Связь;Крепость на колесах"
Крепость на колесах;Боевик (Экшен);Фантастика;Фантастический;Новинки (2020–2025);6.805;461755;;0;0;;;;;;;;;;;;;;;;;;;;"Связь;Временная петля;Добыча;Годзилла против Конга;Время возмездия;Битва за Землю;G.I. Joe: Бросок кобры. Снейк Айз;Смертельная зона;Узники страны призраков;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Хищник;Живая сталь;Чистилище;Трансформеры;Хардкор;Бегущий человек;Безумный Макс;Армагеддец"
Вышибала;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.817;468937;Goon;6.8;6.6;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Двойной удар;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);7.019;28130;Double Impact;5.6;4.2;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
16 кварталов;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.283;101711;16 Blocks;6.6;5.9;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2;Форсаж"
Риск без контракта;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.586;40720;;6;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Логан;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.671;807682;Logan;8.1;8;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
Жажда смерти;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.603;409171;Death Wish;6.3;4;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Три икса: Мировое господство;Боевик (Экшен);Фантастика;Шпионский;Современное кино (2000–2020);5.323;428709;xXx: Return of Xander Cage;5.2;4.9;;;;;;;;;;;;;;;;;;;;"Хитмен. Последнее дело;Живешь только дважды;Без права на провал;24 часа;24 часа на жизнь;Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Безумный Макс: Дорога ярости;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние"
Миссия: невыполнима 3;Боевик (Экшен);Триллер;Шпионский;Современное кино (2000–2020);7.031;9552;Mission: Impossible III;6.9;6.7;;;;;;;;;;;;;;;;;;;;"Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Система безопасности;007: Координаты """"Скайфолл;Миссия невыполнима: Последствия;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Миссия невыполнима: Протокол Фантом;Игры шпионов;Крепкий орешек 4.0;Совокупность лжи;Из Парижа с любовью;007: СПЕКТР;Прозрение;Анна;Взрывная блондинка;Квант милосердия"
Выбор цели;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);6.45;45961;;6.5;0;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Единичка;Король неба;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд;Последнее испытание"
Аксель;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);6.089;989641;A-X-L;5.3;3.9;;;;;;;;;;;;;;;;;;;;"Код 355;Миссия: невыполнима 7. Смертельная расплата;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Берлинское дело;Агент Ева;Запретная миссия;Душа шпиона;Агент Эмерсон;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Недруги;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.443;963016;Hostiles;7.2;6.8;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Брэк!;Одиночка;Ответный ход;Балерина;Прорва;День ангела"
Специалист;Боевик (Экшен);Криминал;Криминальный;Классика (до 2000 года);6.832;8176;The Specialist;5.6;3.5;;;;;;;;;;;;;;;;;;;;"Другие 48 часов;Леон;Игра смерти;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Ронин;Обратная тяга;Воздушная тюрьма;Разборка в Бронксе;Большой Босс;Большой босс;Мистер Крутой;Оружие;Харлей Дэвидсон и ковбой Мальборо"
Халк;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.15;7962;Hulk;5.6;6.3;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
300 спартанцев: Расцвет империи;Боевик (Экшен);Военный;Военный;Современное кино (2000–2020);6.564;418839;300: Rise of an Empire;6.2;5;;;;;;;;;;;;;;;;;;;;"300 спартанцев;Охотник;Рэмбо IV;Неудержимые;Хантер киллер;Отряд особого назначения;Рыцари неба;G.I. Joe: Бросок кобры 2;Сезон убийц;Рукопашный бой;22 мили;Топ Ган: Мэверик;Рэмбо: Первая кровь;Рэмбо: первая кровь;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Серые волки;Коммандос"
Живешь только дважды;Боевик (Экшен);Фантастика;Шпионский;Классика (до 2000 года);7.137;14557;You Only Live Twice;6.8;6.5;;;;;;;;;;;;;;;;;;;;"Хитмен. Последнее дело;Без права на провал;Три икса: Мировое господство;Хищник;Бэтмен;Бэтмен возвращается;Супермен;Бегущий человек;Безумный Макс;Армагеддец;Универсальный солдат;Чужое лицо;Супермен 2;Черепашки-ниндзя 2: Тайна изумрудного зелья;Подъем с глубины;Терминатор 2: Судный день;Черепашки-ниндзя 2;Побег из Лос-Анджелеса;Черепашки-ниндзя;Бэтмен навсегда"
Макс Стил;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);5.225;837766;Max Steel;4.6;2.9;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Последний бойскаут;Боевик (Экшен);Детектив;Криминальный;Классика (до 2000 года);7.653;3537;The Last Boy Scout;7;5.2;;;;;;;;;;;;;;;;;;;;"Без компромиссов;Монтаж;Джек Ричер;Пассажир 57;Другие 48 часов;Леон;Игра смерти;Однажды на Диком Западе;Крепкий орешек;За пригоршню долларов;Смертельное оружие;Отточенное лезвие;Крепкий орешек 3: Возмездие;Пьяный мастер 2;На гребне волны;Черный дождь;Кулак ярости;Путь дракона;Скорость;Тумстоун: Легенда дикого запада"
Ип Ман 2;Боевик (Экшен);Биографический;Другое;Современное кино (2000–2020);7.612;450753;Yip Man 2;7.5;6.9;;;;;;;;;;;;;;;;;;;;"Бесстрашный;Ип Ман 3;Ип Ман;Капитан Филлипс;Ип Ман 4: Финал;Опасные пассажиры поезда 123;Бродяга Кэнсин;Бродяга Кэнсин: Великий киотский пожар;Поезд-беглец;Затойчи;Неуправляемый;Не сдавайся;Подземка;Путь воина;Никогда не сдавайся 3;Бой с тенью;Разлом Сан-Андреас;Посейдон;Вулкан;Бой с тенью 3D: Последний раунд"
Плохие парни навсегда;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);6.704;472386;Bad Boys for Life;6.5;6.2;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Универсальный солдат;Боевик (Экшен);Фантастика;Фантастический;Классика (до 2000 года);7.042;12363;Universal Soldier;6.1;4.5;;;;;;;;;;;;;;;;;;;;"Хищник;Бегущий человек;Безумный Макс;Армагеддец;Чужое лицо;Подъем с глубины;Терминатор 2: Судный день;Побег из Лос-Анджелеса;Безумный Макс 2: Воин дороги;Хищник 2;Уличный боец;Универсальный солдат 2: Возвращение;24 часа;24 часа на жизнь;Безумный Макс: Дорога ярости;Живая сталь;Чистилище;Трансформеры;Связь;Хардкор"
Бесстрашная гиена;Боевик (Экшен);Комедия;Другое;Классика (до 2000 года);7.219;19249;Xiao quan guai zhao;6.6;7;;;;;;;;;;;;;;;;;;;;"Пьяный мастер;Змея в тени орла;Сумасшедшая езда;Пьяный мастер 2;Правдивая ложь;Час пик;Драконы навсегда;Молодой мастер;Близнецы-драконы;Плохой парень;Проект А: Часть 2;Землетрясение;Доспехи Бога;Парень-каратист;Вздымающийся ад;Кикбоксер;Быстрый и мертвый;Лучшие из лучших;Каратэ-пацан;Дневной свет"
Брэк!;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);7.477;46221;;7.2;0;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Одиночка;Ответный ход;Балерина;Прорва;День ангела"
Бэтмен против Супермена: На заре справедливости;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.76;770631;Batman v Superman: Dawn of Justice;6.4;5;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Правосудие Спенсера;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.065;1178062;Spenser Confidential;6.2;4.6;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Пипец 2;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);6.212;520648;Kick-Ass 2;6.5;4.9;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой"
Миссия: невыполнима 7. Смертельная расплата;Боевик (Экшен);Триллер;Шпионский;Новинки (2020–2025);7.161;1229684;Mission: Impossible - Dead Reckoning;7.6;8;;;;;;;;;;;;;;;;;;;;"Код 355;Без права на ошибку;Миссия невыполнима: Племя изгоев;Не время умирать;Камуфляж и шпионаж;Игры патриотов;Берлинское дело;Агент Ева;Запретная миссия;Аксель;Душа шпиона;Агент Эмерсон;Хитмэн: Агент 47;Миротворец;Ультиматум Борна;Казино Рояль;Идентификация Борна;Скала;Превосходство Борна;Система безопасности"
Красное уведомление;Боевик (Экшен);Комедия;Криминальный;Новинки (2020–2025);6.559;1115099;Red Notice;6.3;4.9;;;;;;;;;;;;;;;;;;;;"Городской охотник;Телохранитель жены киллера;Одинок по контракту;Пьяный мастер 2;Час пик;Драконы навсегда;Молодой мастер;Близнецы-драконы;Телохранитель киллера;Плохой парень;Пушки Акимбо;Проект А: Часть 2;Неистребимый шпион;Сумасшедшая езда;На Париж!;Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых"
Онг Бак;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);7.302;50534;Ong-bak;7.1;7.1;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Первый Мститель: Противостояние;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.41;822708;Captain America: Civil War;7.8;7.8;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Люди Икс: Первый класс;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
