0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;20_похожих
Пираты;Приключения;Комедия;Поиски сокровищ;Классика (до 2000 года);8.031;160927;Caraibi;7.7;0;;;;;;;;;;;;"Дорога на Эльдорадо;Роман с камнем;Жемчужина Нила;В поисках приключений;Клад;Охотники за сокровищами;Диггеры;Вокруг света за 80 дней;Порко Россо;Капитан Фракасс;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты"
Робин Гуд: Начало;Приключения;Исторический;Исторические квесты;Современное кино (2000–2020);6.082;927495;Robin Hood;5.4;3.9;;;;;;;;;;;;"Братство волка;Орел Девятого легиона;Гардемарины III;Форт Росс: В поисках приключений;13-й воин;Д'Артаньян и три мушкетёра;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Стрелы Робин Гуда;Три мушкетера: Подвески королевы;Принц и нищий;Человек в железной маске;Три мушкетера: Месть миледи;Как три мушкетера;Как три мушкетера;Картуш;Как три мушкетера"
72 градуса ниже нуля;Приключения;Драма;Экстремальное выживание;Новинки (2020–2025);7.319;46801;;6.9;0;;;;;;;;;;;;"Затерянные в Антарктиде;Уроки выживания;Остаться в живых;Касаясь пустоты;Жизнь Пи;Выживший;Голубая бездна;Северная стена;Только у ангелов есть крылья;Выжить;Побег из Гулага;Моби Дик;Вертикаль;Эверест;В лесах Сибири;Белый шквал;Джунгли;Идеальный шторм;Акваланги на дне;Альфа"
Дорога на Эльдорадо;Приключения;Комедия;Поиски сокровищ;Классика (до 2000 года);7.762;806;The Road to El Dorado;6.9;5.6;;;;;;;;;;;;"Пираты;Роман с камнем;Жемчужина Нила;В поисках приключений;Клад;Охотники за сокровищами;Диггеры;Вокруг света за 80 дней;Порко Россо;Капитан Фракасс;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты"
Библиотекарь: В поисках копья судьбы;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);6.827;161030;The Librarian: Quest for the Spear;6.2;0;;;;;;;;;;;;"Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Легенда Зорро;Приключения;Боевик (Экшен);Исторические квесты;Современное кино (2000–2020);6.973;77407;The Legend of Zorro;6;4.9;;;;;;;;;;;;"Одинокий рейнджер;Маска Зорро;Зорро;Покорители волн;Приключения Тинтина: Тайна Единорога;Игра на выживание;Во власти стихии;Вертикальный предел;Сахара;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Тарзан. Легенда;Сокровища О.К.;Братство волка;Орел Девятого легиона;Необычайные приключения Адель;Гардемарины III;Робин Гуд: Начало;Форт Росс: В поисках приключений;Гладиаторы Рима"
Конго;Приключения;Фантастика;Экзотические путешествия;Классика (до 2000 года);6.021;2907;Congo;5.3;4.1;;;;;;;;;;;;"Парк Юрского периода 2: Затерянный мир;Необыкновенные приключения Карика и Вали;Остров погибших кораблей;Затерянный мир;Путешествие к центру Земли;Кинг-Конг;Путешествие 2: Таинственный остров;Земля Санникова;Миллион лет до нашей эры;Вокруг света за 80 дней;Фицкарральдо;Порко Россо;Джуманджи;Приключения желтого чемоданчика;Потерянный горизонт;Тарзан;Приключения барона Мюнхгаузена;Неукротимая Анжелика;Пираты ХХ века;Жизнь Бенгальского улана"
Альфа;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);6.753;934956;Alpha;6.6;6.6;;;;;;;;;;;;"Касаясь пустоты;Жизнь Пи;Выживший;Северная стена;Выжить;Побег из Гулага;Эверест;В лесах Сибири;Джунгли;Идеальный шторм;Жил-был тигр;Полет Феникса;Ледокол;Жажда странствий;Остаться в живых;Затерянные в Антарктиде;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль"
Смерч;Приключения;Боевик (Экшен);Экстремальное выживание;Классика (до 2000 года);7.202;1722;Twister;6.6;6.6;;;;;;;;;;;;"Приключения «Посейдона»;Пик Данте;Покорители волн;Последний герой;Игра на выживание;Во власти стихии;Затерянные во льдах;Амазония: Инструкция по выживанию;Вертикальный предел;Школа выживания;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Маска Зорро;Красное солнце;Человек из Рио;Зорро;Пираты ХХ века"
Принц Персии: Пески времени;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);7.326;195394;Prince of Persia: The Sands of Time;6.5;5.1;;;;;;;;;;;;"Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Идальго: Погоня в пустыне;Приключения;Исторический;Экзотические путешествия;Современное кино (2000–2020);7.446;5121;Hidalgo;6.7;5.6;;;;;;;;;;;;"Черное золото;Неукротимая Анжелика;На краю Земли;Виннету — сын Инчу-Чуна;Граф Монте-Кристо;Сокровище нации;Сокровище;Братство волка;В сердце моря;Сокровище нации: Книга Тайн;Орел Девятого легиона;Китобой;Гардемарины III;Робин Гуд: Начало;Форт Росс: В поисках приключений;В пасти океана;10 000 лет до н.э.;Хозяин морей: На краю Земли;Пираты Карибского моря: На краю света;Невероятная жизнь Уолтера Митти"
Необычайные приключения Адель;Приключения;Фэнтези;Исторические квесты;Современное кино (2000–2020);6.361;462666;Les aventures extraordinaires d'Ad?le Blanc-Sec;6.3;6.1;;;;;;;;;;;;"Приключения Аленушки и Еремы;Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;10 000 лет до н.э.;Пираты Карибского моря: Сундук мертвеца;Пираты Карибского моря: На краю света;Кинг Конг;Атлантида: Затерянный мир;Синдбад: Легенда семи морей;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Атлантида 2: Возвращение Майло"
Последний дюйм;Приключения;Семейный;Экстремальное выживание;Классика (до 2000 года);7.971;43145;;7.4;0;;;;;;;;;;;;"Отважные капитаны;Далеко по соседству;Робинзон Крузо;Жизнь и удивительные приключения Робинзона Крузо;Приключения Кроша;Зов предков;В белом плену;Я иду искать;Зов волка;След тигра;Тарбозавр 3D;Приключения Буратино;Приключения желтого чемоданчика;Тарзан;Новые приключения капитана Врунгеля;Том Сойер;Приключения Гекльберри Финна;Приключения маленьких итальянцев;Остаться в живых;Голубая бездна"
Мумия: Гробница Императора Драконов;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);6.162;276638;The Mummy: Tomb of the Dragon Emperor;5.2;3.7;;;;;;;;;;;;"Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Библиотекарь 2: Возвращение в Копи Царя Соломона;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);6.709;229931;The Librarian: Return to King Solomon's Mines;6.2;6.5;;;;;;;;;;;;"Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Капитан Фракасс;Приключения;Комедия;Исторические квесты;Классика (до 2000 года);7.065;409048;;6.6;0;;;;;;;;;;;;"Вокруг света за 80 дней;Пираты;Порко Россо;Дорога на Эльдорадо;Роман с камнем;Жемчужина Нила;В поисках приключений;13-й воин;Неуловимые мстители;Неуловимые мстители 2: Новые приключения неуловимых;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Маска Зорро;Робин Гуд: Принц воров;Зорро;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске"
Невероятная жизнь Уолтера Митти;Приключения;Комедия;Экзотические путешествия;Современное кино (2000–2020);7.724;6034;The Secret Life of Walter Mitty;7.3;6;;;;;;;;;;;;"Орел и решка;Вокруг света за 80 дней;Порко Россо;Охотники за сокровищами;10 000 лет до н.э.;Хозяин морей: На краю Земли;Пираты Карибского моря: На краю света;Кинг Конг;Кинг-Конг;Синдбад: Легенда семи морей;Невероятное путешествие мистера Спивета;Идальго: Погоня в пустыне;Четыре пера;Путешествие Гектора в поисках счастья;Черное золото;Пляж;Тарзан. Легенда;Атлантида 2: Возвращение Майло;Путешествие 2: Таинственный остров;Приключения Шаркбоя и Лавы"
Земля Санникова;Приключения;Фантастика;Поиски сокровищ;Классика (до 2000 года);7.705;45271;;6.9;0;;;;;;;;;;;;"Планета сокровищ;Индиана Джонс и Королевство хрустального черепа;Парк Юрского периода 2: Затерянный мир;Необыкновенные приключения Карика и Вали;Остров погибших кораблей;Миллион лет до нашей эры;Конго;Затерянный мир;Путешествие к центру Земли;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Пираты;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты"
Приключения Десперо;Приключения;Семейный;Поиски сокровищ;Новинки (2020–2025);6.583;82273;The Tale of Despereaux;6.1;5.7;;;;;;;;;;;;"Приключения Хомы;Приключения запятой и точки;Золотая речка;Удивительные приключения Дениса Кораблева;Пятерка кладоискателей;Приключения Буратино;Сокровище Амазонки;Том Сойер;Зов предков;Я иду искать;Зов волка;След тигра;Атлантида Русского Севера;Клад;Ван-Пис: Красный;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Либерея: Охотники за сокровищами;Мэрайа Мунди и шкатулка Мидаса;V Центурия. В поисках зачарованных сокровищ"
Особо важное задание;Приключения;Детектив;Поиски сокровищ;Классика (до 2000 года);6.75;25083;;6.6;0;;;;;;;;;;;;"Всадник без головы;Капитан «Пилигрима»;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Пираты;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты;Искатели приключений;Дорога на Эльдорадо;Земля Санникова;Роман с камнем;Золото Маккенны;Красное солнце;Человек из Рио"
Золотая речка;Приключения;Семейный;Поиски сокровищ;Новинки (2020–2025);7.339;45382;;6.8;0;;;;;;;;;;;;"Приключения Хомы;Приключения запятой и точки;Удивительные приключения Дениса Кораблева;Приключения Десперо;Пятерка кладоискателей;Приключения Буратино;Сокровище Амазонки;Том Сойер;Зов предков;Я иду искать;Зов волка;След тигра;Атлантида Русского Севера;Клад;Ван-Пис: Красный;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Либерея: Охотники за сокровищами;Мэрайа Мунди и шкатулка Мидаса;V Центурия. В поисках зачарованных сокровищ"
Хозяин морей: На краю Земли;Приключения;Военный;Экзотические путешествия;Современное кино (2000–2020);7.63;5565;Master and Commander: The Far Side of the World;7.5;7.6;;;;;;;;;;;;"Четыре пера;Жизнь Бенгальского улана;10 000 лет до н.э.;Пираты Карибского моря: На краю света;Невероятная жизнь Уолтера Митти;Орел и решка;Кинг Конг;Кинг-Конг;Синдбад: Легенда семи морей;Невероятное путешествие мистера Спивета;Идальго: Погоня в пустыне;Путешествие Гектора в поисках счастья;Черное золото;Пляж;Тарзан. Легенда;Атлантида 2: Возвращение Майло;Путешествие 2: Таинственный остров;Приключения Шаркбоя и Лавы;Неуловимые мстители;Неуловимые мстители 2: Новые приключения неуловимых"
Неуловимые мстители;Приключения;Военный;Исторические квесты;Классика (до 2000 года);8.083;46420;;7.3;0;;;;;;;;;;;;"Неуловимые мстители 2: Новые приключения неуловимых;След Сокола;Жизнь Бенгальского улана;13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Маска Зорро;Робин Гуд: Принц воров;Зорро;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Капитан Фракасс;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя"
Жил-был тигр;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);7.638;606753;Ek Tha Tiger;5.7;5.9;;;;;;;;;;;;"Касаясь пустоты;Жизнь Пи;Выживший;Северная стена;Выжить;Побег из Гулага;Эверест;В лесах Сибири;Джунгли;Идеальный шторм;Альфа;Полет Феникса;Ледокол;Жажда странствий;Остаться в живых;Затерянные в Антарктиде;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль"
Пираты Карибского моря: Проклятие черной жемчужины;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);8.381;4374;Pirates of the Caribbean: The Curse of the Black Pearl;8.1;7.1;;;;;;;;;;;;"Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Полярный рейс;Приключения;Драма;Экстремальное выживание;Классика (до 2000 года);4.221;675477;;3.5;0;;;;;;;;;;;;"Остаться в живых;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль;Белый шквал;Акваланги на дне;Живой;07-й меняет курс;Килиманджара;Касаясь пустоты;Жизнь Пи;Выживший;Затерянные в Антарктиде;Северная стена;Выжить;Побег из Гулага;Эверест;72 градуса ниже нуля;В лесах Сибири"
Лара Крофт: Расхитительница гробниц;Приключения;Боевик (Экшен);Поиски сокровищ;Современное кино (2000–2020);6.833;3950;Lara Croft: Tomb Raider;5.8;4;;;;;;;;;;;;"Приключения Тинтина: Тайна Единорога;Сахара;Tomb Raider: Лара Крофт;Сокровища О.К.;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Человек из Рио;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Остров головорезов;Вольный ветер;Либерея: Охотники за сокровищами;Доспехи бога: В поисках сокровищ;Покорители волн;Игра на выживание;Во власти стихии"
Вертикаль;Приключения;Драма;Экстремальное выживание;Классика (до 2000 года);7.575;45733;;6.9;0;;;;;;;;;;;;"Остаться в живых;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Белый шквал;Акваланги на дне;Живой;07-й меняет курс;Килиманджара;Полярный рейс;Касаясь пустоты;Жизнь Пи;Выживший;Затерянные в Антарктиде;Северная стена;Выжить;Побег из Гулага;Эверест;72 градуса ниже нуля;В лесах Сибири"
Приключения Кроша;Приключения;Семейный;Экстремальное выживание;Классика (до 2000 года);6.875;43255;;6.4;0;;;;;;;;;;;;"Последний дюйм;Отважные капитаны;Далеко по соседству;Робинзон Крузо;Жизнь и удивительные приключения Робинзона Крузо;Зов предков;В белом плену;Я иду искать;Зов волка;След тигра;Тарбозавр 3D;Приключения Буратино;Приключения желтого чемоданчика;Тарзан;Новые приключения капитана Врунгеля;Том Сойер;Приключения Гекльберри Финна;Приключения маленьких итальянцев;Остаться в живых;Голубая бездна"
Неуловимые: Последний герой;Приключения;Военный;Экстремальное выживание;Новинки (2020–2025);3.366;893235;;2.5;0;;;;;;;;;;;;"Затерянные в Антарктиде;Последний герой;Пропавшая экспедиция;Потерянный в снегах;Зов предков;72 градуса ниже нуля;Два капитана 2;Я иду искать;Затерянные во льдах;Зов волка;Борьба со льдом;Амазония: Инструкция по выживанию;След тигра;Затерянные в лесах;Школа выживания;Опасная природа;Уроки выживания;Медвежья охота;Над глубиной: Хроника выживания;Война динозавров"
Три мушкетера: Месть миледи;Приключения;Исторический;Исторические квесты;Новинки (2020–2025);7.227;64027;Les trois mousquetaires: La vengeance de Milady;6.5;0;;;;;;;;;;;;"Д'Артаньян и три мушкетёра;Три мушкетера: Подвески королевы;Как три мушкетера;Как три мушкетера;Как три мушкетера;Как три мушкетера;13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Братство волка;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Орел Девятого легиона"
Искатели приключений;Приключения;Боевик (Экшен);Поиски сокровищ;Классика (до 2000 года);7.776;77221;Les aventuriers;7;0;;;;;;;;;;;;"Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Красное солнце;Человек из Рио;Остров головорезов;Вольный ветер;Доспехи бога: В поисках сокровищ;Приключения Тинтина: Тайна Единорога;Анчартед: На картах не значится;С глаз - долой, из чарта - вон!;Сахара;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Либерея: Охотники за сокровищами;Сокровища О.К.;Маска Зорро;Приключения «Посейдона»;Зорро"
Выжившие;Приключения;Биографический;Экстремальное выживание;Классика (до 2000 года);5.431;939770;Hostile;5.3;6.7;;;;;;;;;;;;"127 часов;Альпинист;В диких условиях;Кон-Тики;Выживая с волками;Борьба со льдом;Фицкарральдо;Миссия Дарвина;Остаться в живых;Последний дюйм;Отважные капитаны;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль;Призрак и Тьма;Красная палатка;Приключения «Посейдона»;Далеко по соседству;Белый шквал"
Одиссея капитана Блада;Приключения;Исторический;Исторические квесты;Классика (до 2000 года);8.01;42729;;7.1;0;;;;;;;;;;;;"13-й воин;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя;Д'Артаньян и три мушкетера;Три мушкетера;Возвращение мушкетеров;Д'Артаньян и три мушкетёра;Братство волка;Три мушкетера: Подвески королевы;Три мушкетера: Месть миледи"
Конг: Остров черепа;Приключения;Фантастика;Экстремальное выживание;Современное кино (2000–2020);6.496;843147;Kong: Skull Island;6.7;6.5;;;;;;;;;;;;"Мир Юрского периода;Парк Юрского периода 3;Миллион лет до нашей эры;Война динозавров;Скалолазка и Последний из седьмой колыбели;Планета сокровищ;Кинг-Конг;Индиана Джонс и Королевство хрустального черепа;Путешествие 2: Таинственный остров;127 часов;В Арктику;Альпинист;Касаясь пустоты;В диких условиях;Жизнь Пи;Выживший;Северная стена;Покорители волн;Выжить;Побег из Гулага"
Мумия возвращается;Приключения;Фэнтези;Поиски сокровищ;Современное кино (2000–2020);7.423;760;The Mummy Returns;6.4;5.3;;;;;;;;;;;;"Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки;Железная маска;Библиотекарь: В поисках копья судьбы;Библиотекарь 2: Возвращение в Копи Царя Соломона;Библиотекарь 3: Проклятие иудовой чаши;Мумия: Гробница Императора Драконов;Мумия;Аргонавты;Золотое путешествие Синдбада;Ван-Пис: Красный;Копи царя Соломона;Мэрайа Мунди и шкатулка Мидаса;Приключения Аладдина"
Северная стена;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);7.603;263310;Nordwand;7.4;6.9;;;;;;;;;;;;"Касаясь пустоты;Жизнь Пи;Выживший;Выжить;Побег из Гулага;Эверест;В лесах Сибири;Джунгли;Идеальный шторм;Альфа;Жил-был тигр;Полет Феникса;Ледокол;Жажда странствий;Остаться в живых;Затерянные в Антарктиде;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль"
Вертикальный предел;Приключения;Боевик (Экшен);Экстремальное выживание;Современное кино (2000–2020);7.083;2209;Vertical Limit;6;5.2;;;;;;;;;;;;"Покорители волн;Игра на выживание;Во власти стихии;Последний герой;Приключения «Посейдона»;Смерч;Затерянные во льдах;Амазония: Инструкция по выживанию;Пик Данте;Школа выживания;Приключения Тинтина: Тайна Единорога;Одинокий рейнджер;Легенда Зорро;Сахара;Лара Крофт: Расхитительница гробниц;Tomb Raider: Лара Крофт;Тарзан. Легенда;Сокровища О.К.;127 часов;В Арктику"
Синдбад: Легенда семи морей;Приключения;Фэнтези;Экзотические путешествия;Современное кино (2000–2020);7.722;7971;Sinbad: Legend of the Seven Seas;6.7;5.6;;;;;;;;;;;;"10 000 лет до н.э.;Пираты Карибского моря: На краю света;Кинг Конг;Атлантида 2: Возвращение Майло;Приключения Шаркбоя и Лавы;Джуманджи;Потерянный горизонт;Приключения барона Мюнхгаузена;Одиссея;Круиз по джунглям;Черепашки-ниндзя 3;Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Пираты Карибского моря: Сундук мертвеца;Атлантида: Затерянный мир;Пираты Карибского моря: На странных берегах;Принц Персии: Пески времени;Мумия возвращается;Эспен в поисках Золотого замка;Пираты Карибского моря: Мертвецы не рассказывают сказки"
Маска Зорро;Приключения;Боевик (Экшен);Исторические квесты;Классика (до 2000 года);7.524;7096;The Mask of Zorro;6.8;7.2;;;;;;;;;;;;"Зорро;Одинокий рейнджер;Легенда Зорро;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Индиана Джонс и последний крестовый поход;Индиана Джонс и Храм Судьбы;Искатели приключений;Красное солнце;Приключения «Посейдона»;Человек из Рио;Пираты ХХ века;Смерч;Пик Данте;Остров головорезов;Вольный ветер;Доспехи бога: В поисках сокровищ;13-й воин;Неуловимые мстители;Неуловимые мстители 2: Новые приключения неуловимых"
Живой;Приключения;Драма;Экстремальное выживание;Классика (до 2000 года);7.073;256503;;6.4;0;;;;;;;;;;;;"Остаться в живых;Голубая бездна;Только у ангелов есть крылья;Моби Дик;Вертикаль;Белый шквал;Акваланги на дне;07-й меняет курс;Килиманджара;Полярный рейс;Касаясь пустоты;Жизнь Пи;Выживший;Затерянные в Антарктиде;Северная стена;Выжить;Побег из Гулага;Эверест;72 градуса ниже нуля;В лесах Сибири"
Роман с камнем;Приключения;Комедия;Поиски сокровищ;Классика (до 2000 года);7.741;12285;Romancing the Stone;6.9;7.2;;;;;;;;;;;;"Пираты;Дорога на Эльдорадо;Жемчужина Нила;В поисках приключений;Клад;Охотники за сокровищами;Диггеры;Вокруг света за 80 дней;Порко Россо;Капитан Фракасс;Остров сокровищ;Индиана Джонс: В поисках утраченного ковчега;Индиана Джонс и последний крестовый Поход;Сокровища Сьерра Мадре;Индиана Джонс и последний крестовый поход;Буч Кэссиди и Сандэнс Кид;Приключения Буратино;Индиана Джонс и Храм Судьбы;Мумия;Аргонавты"
Орел Девятого легиона;Приключения;Исторический;Исторические квесты;Современное кино (2000–2020);6.837;455353;The Eagle;6.2;5.3;;;;;;;;;;;;"Братство волка;Гардемарины III;Робин Гуд: Начало;Форт Росс: В поисках приключений;13-й воин;Д'Артаньян и три мушкетёра;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Робин Гуд: Принц воров;Стрелы Робин Гуда;Три мушкетера: Подвески королевы;Принц и нищий;Человек в железной маске;Три мушкетера: Месть миледи;Как три мушкетера;Как три мушкетера;Картуш;Как три мушкетера"
Охотники за сокровищами;Приключения;Комедия;Поиски сокровищ;Современное кино (2000–2020);5.191;662149;The Monuments Men;6.1;5.2;;;;;;;;;;;;"Пираты;Клад;Дорога на Эльдорадо;Роман с камнем;Жемчужина Нила;В поисках приключений;Диггеры;Невероятная жизнь Уолтера Митти;Орел и решка;Пираты Карибского моря: Проклятие черной жемчужины;Пираты Карибского моря: Проклятие Черной жемчужины;Граф Монте-Кристо;Пираты Карибского моря: Сундук мертвеца;Планета сокровищ;Приключения Тинтина: Тайна Единорога;Атлантида: Затерянный мир;Сокровище нации;Сокровище;Золото;Сокровище нации: Книга Тайн"
Робин Гуд: Принц воров;Приключения;Исторический;Исторические квесты;Классика (до 2000 года);7.588;6064;Robin Hood: Prince of Thieves;6.9;5.6;;;;;;;;;;;;"13-й воин;Одиссея капитана Блада;Последний из могикан;Приключения Робин Гуда;Мушкетеры;Стрелы Робин Гуда;Принц и нищий;Человек в железной маске;Картуш;Чингачгук — Большой Змей;Мушкетеры 20 лет спустя;Черная стрела;Тайна королевы Анны, или Мушкетеры 30 лет спустя;Д'Артаньян и три мушкетера;Три мушкетера;Возвращение мушкетеров;Д'Артаньян и три мушкетёра;Братство волка;Три мушкетера: Подвески королевы;Три мушкетера: Месть миледи"
