0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;20_похожих
Головой о стену;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);7.643;52453;Gegen die Wand;7.8;0;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан;Чужая ненависть"
Порожний рейс;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);7.463;43128;;7.4;0;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Бойцовая рыбка;Левиафан;Чужая ненависть"
Эпоха невинности;Драма;Мелодрама;Грустное/Трагическое;Классика (до 2000 года);6.916;11078;The Age of Innocence;7.2;7.5;;;;;;;;;;;;"Студия 54;Анюта;Жестокий романс;Уроки французского;Кто боится Вирджинии Вульф?;Кабаре;Тени забытых предков;Простая история;Неоконченная пьеса для механического пианино;Белые росы;Слезы капали;Рассекая волны;Доктор Живаго;Дни вина и роз;Филадельфия;Все о моей матери;Когда деревья были большими;Три цвета: Синий;Евгений Онегин;Девушка на мосту"
Игби идет ко дну;Драма;Комедия;Философское;Современное кино (2000–2020);6.744;709;Igby Goes Down;6.8;6.9;;;;;;;;;;;;"Кавалерия;Великая красота;Голгофа;Географ глобус пропил;Сломанные цветы;Серьезный человек;Чеховские мотивы;Свободное плавание;Юрьев день;Где-то;Артур Ньюман;Клуб «Завтрак»;Виридиана;Сладкая жизнь;Скверный анекдот;Делай — раз!;Нэшвилл;Астенический синдром;Человек из Подольска;Идиоты"
Проигранное место;Драма;Приключения;Вдохновляющее;Новинки (2020–2025);4.288;1046197;;3.1;0;;;;;;;;;;;;"Матч-реванш;Высота 89;Белая стрела;Новости со всех концов света;Стрекоза;Одиночное плавание;Изгой;Дети Дон-Кихота;В добрый час;Арахисовый сокол;Третья звезда;Дикая собака Динго;Грязь;Дальняя дорога;О друзьях-товарищах;713-й просит посадку;Миллиард;Путь;Вас вызывает Таймыр;Прерванный полет"
Анатомия падения;Драма;Детектив;Философское;Новинки (2020–2025);6.798;4910679;Anatomie d'une chute;7.6;8.5;;;;;;;;;;;;"Я — начало;Лабиринты прошлого;Чудовище;12 разгневанных мужчин;12;Сомнение;Пикник у Висячей скалы;Однажды в Анатолии;В доме;Расемон;Преступление и наказание;Отголоски прошлого;Globe: Доктор Фауст;Идеальные дни;Успех;Плохой хороший человек;Вайолет Эвергарден. Вечность и призрак пера;Прошлые жизни;Джокер. Возмездие;Сядь за руль моей машины"
Лев;Драма;Биографический;Вдохновляющее;Современное кино (2000–2020);8.209;864138;Lion;8;7.3;;;;;;;;;;;;"Зеленая книга;Непобедимый;Отель «Руанда»;Писатели свободы;Почти знаменит;Темные воды;Тренер Картер;Просто помиловать;8 миля;Дикий;Северная страна;Мирный воин;Салют-7;Дворецкий;Рокки Бальбоа;Дикая;Дирижер;Свалка;Про Петра и Павла;Гениальный папа"
Одиннадцать молчаливых мужчин;Драма;Исторический;Вдохновляющее;Новинки (2020–2025);6.245;1338453;;5.2;0;;;;;;;;;;;;"Император;Соль Земли;Председатель;Прислуга;Танцующий с волками;Гордость;Укрощение огня;Первый учитель;Старое и новое (Генеральная линия);Огненные колесницы;Гора самоцветов;Капитан Волконогов бежал;Герой нашего времени;Дорогие товарищи!;Вавилон;Власть страха;Прокаженная;Власть пса;Нокдаун;CODA: Ребенок глухих родителей"
И на камнях растут деревья;Драма;Военный;Грустное/Трагическое;Новинки (2020–2025);7.796;42553;;6.8;0;;;;;;;;;;;;"Укрытие;Бал;Осенние корабли;Дорога к матери;Аманат;Моя мама;Снегирь;Я не вернусь;Разжалованный;Чайки;Интервенция;На следующий день;Свидетели;Жду и надеюсь;Когда мы уходим;Берега;Тревожный месяц вересень;Северный ветер;Белое платье;Единственная дорога"
Это всего лишь конец света;Драма;Семейный;Грустное/Трагическое;Современное кино (2000–2020);7.12;905058;Juste la fin du monde;6.8;5.4;;;;;;;;;;;;"Короткий срок 12;Капернаум;Чудо в камере №7;Цирк «Бабочка»;День и ночь;Укрась прощальное утро цветами обещания;Невозможное;Моя земля;Переходный возраст;Магазинные воришки;Дорогой Фрэнки;Невидимые дети;Итальянец;Долгие проводы;Манчестер у моря;Нелюбовь;Мустанг;Белый олеандр;Мачеха;Елена"
Миллион для чайников;Драма;Детектив;Вдохновляющее;Современное кино (2000–2020);6.128;627298;The Brass Teapot;6.3;4.6;;;;;;;;;;;;"В центре внимания;Шахматист;Подмена;12;Загадочная кожа;Сомнение;Однажды в Анатолии;В доме;В долине Эла;Разоблачение;Середина 90-х;28 дней;Зеленая книга;Непобедимый;Прислуга;Мандарины;Хористы;Лев;Воин;Брат Баджранги"
Дикая;Драма;Биографический;Вдохновляющее;Современное кино (2000–2020);7.189;673428;Wild;7.1;7.5;;;;;;;;;;;;"Зеленая книга;Непобедимый;Лев;Отель «Руанда»;Писатели свободы;Почти знаменит;Темные воды;Тренер Картер;Просто помиловать;8 миля;Дикий;Северная страна;Мирный воин;Салют-7;Дворецкий;Рокки Бальбоа;Дирижер;Свалка;Про Петра и Павла;Гениальный папа"
Остров;Драма;Военный;Философское;Современное кино (2000–2020);7.508;81291;The Island;6.8;5.3;;;;;;;;;;;;"Александра;Апокалипсис;Иду на грозу;Лакомб Люсьен;Комиссар;Жестяной барабан;Мысли о свободе;Меченый атом;Пожары;Мандарины;Мальчик в полосатой пижаме;Поводырь;Зло;Воровка книг;Как складывать флаг;Межа;Холодная гора;За последней чертой;Хайтарма;Я вас любил..."
Правосудие для всех;Драма;Криминал;Философское;Классика (до 2000 года);7.803;4879;...And Justice for All;7.4;6.6;;;;;;;;;;;;"Американская история Х;Таксист;Мертвец;Свой человек;Братья Карамазовы;Остановился поезд;Дикое сердце;Хозяин тайги;Непрощенная;Тело Христово;Плохой хороший человек;Джокер. Возмездие;Место под соснами;Признайте меня виновным;Изображая жертву;Цезарь должен умереть;Личное дело судьи Ивановой;Параноид парк;Духless 2;Меня это не касается"
Студентка;Драма;Триллер;Грустное/Трагическое;Современное кино (2000–2020);7.237;15081;L'?tudiante;5.8;0;;;;;;;;;;;;"Джокер;Комната;Эксперимент 2: Волна;Дурное воспитание;Джон Кью;Преданный садовник;Что-то не так с Кевином;Коммивояжер;Наркоз;Коллектор;Книга Генри;Трещины;Текст;Слон;Доверие;После Люсии;Элефант;Сила стихии;Юленька;Гнев"
Другая Бовари;Драма;Мелодрама;Грустное/Трагическое;Новинки (2020–2025);6.33;749497;Gemma Bovery;6.4;6;;;;;;;;;;;;"Архангельские новеллы;Послесловие;Судьба резидента;Молодая жена;Другая;Здорово и вечно;Сломленные;Нежный возраст;Мне бы в небо;Три истории;Онегин;Ожидания;Наша Наташа;Роль;Бедная Саша;Событие;Развод;Затишье;Приезжая;Метель"
Елена;Драма;Семейный;Грустное/Трагическое;Современное кино (2000–2020);7.222;501958;;7.3;0;;;;;;;;;;;;"Короткий срок 12;Капернаум;Чудо в камере №7;Цирк «Бабочка»;День и ночь;Укрась прощальное утро цветами обещания;Невозможное;Моя земля;Переходный возраст;Магазинные воришки;Дорогой Фрэнки;Невидимые дети;Итальянец;Долгие проводы;Манчестер у моря;Нелюбовь;Мустанг;Белый олеандр;Мачеха;Проект «Флорида»"
Чучело;Драма;Семейный;Грустное/Трагическое;Классика (до 2000 года);8.015;45524;;7.7;0;;;;;;;;;;;;"Рокко и его братья;Похитители велосипедов;Король Лир;Евдокия;Осенняя соната;Республика ШКИД;Крамер против Крамера;Девочка со спичками;Что гложет Гилберта Грейпа?;Не стреляйте в белых лебедей;О мышах и людях;Дядя Ваня;Обыкновенные люди;Моя девочка;Каран и Арджун;Иваново счастье;Пять легких пьес;Пядь земли;Комната Марвина;Сыновья Большой Медведицы"
Сила стихии;Драма;Триллер;Грустное/Трагическое;Современное кино (2000–2020);5.829;1266917;Force of Nature;4.6;3.3;;;;;;;;;;;;"Джокер;Комната;Эксперимент 2: Волна;Дурное воспитание;Джон Кью;Преданный садовник;Что-то не так с Кевином;Коммивояжер;Наркоз;Коллектор;Книга Генри;Трещины;Текст;Слон;Доверие;После Люсии;Студентка;Элефант;Юленька;Гнев"
12 разгневанных мужчин;Драма;Детектив;Философское;Классика (до 2000 года);8.527;346;12 Angry Men;9;9.1;;;;;;;;;;;;"Пикник у Висячей скалы;Расемон;Преступление и наказание;12;Я — начало;Сомнение;Однажды в Анатолии;В доме;Анатомия падения;Лабиринты прошлого;Чудовище;Долорес Клэйборн;Шахматист;Единожды солгав;Китайский сервиз;Бойцовский клуб;Идиот;Американская история Х;Барака;Дерсу Узала"
Нимфоманка: Часть 2;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);6.83;813476;Nymphomaniac: Vol. II;6.6;6.4;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Сплетня;Драма;Мелодрама;Грустное/Трагическое;Классика (до 2000 года);7.077;2831;Gossip;5.9;4.5;;;;;;;;;;;;"Студия 54;Анюта;Жестокий романс;Уроки французского;Кто боится Вирджинии Вульф?;Кабаре;Тени забытых предков;Простая история;Неоконченная пьеса для механического пианино;Белые росы;Слезы капали;Рассекая волны;Доктор Живаго;Дни вина и роз;Филадельфия;Все о моей матери;Когда деревья были большими;Три цвета: Синий;Евгений Онегин;Девушка на мосту"
Ночной поезд до Лиссабона;Драма;Мелодрама;Философское;Современное кино (2000–2020);6.845;523402;Night Train to Lisbon;6.8;4.9;;;;;;;;;;;;"45 лет;Табу;Театр;Поговори с ней;Зимняя спячка;Трудности перевода;Изгнание;Школьный вальс;О теле и душе;Патерсон;Слова;Молодость;И твою маму тоже;Жена;Призрачная нить;Мечтатели;Безмолвный свет;Париж;Нимфоманка: Часть 1;Лок"
Джокер. Возмездие;Драма;Криминал;Философское;Новинки (2020–2025);7.414;913059;;0;0;;;;;;;;;;;;"Плохой хороший человек;Личное дело судьи Ивановой;Меня это не касается;Американская история Х;Таксист;Мертвец;Тело Христово;Свой человек;Братья Карамазовы;Правосудие для всех;Остановился поезд;Место под соснами;Дикое сердце;Признайте меня виновным;Изображая жертву;Цезарь должен умереть;Хозяин тайги;Непрощенная;Параноид парк;Духless 2"
Что-то не так с Кевином;Драма;Триллер;Грустное/Трагическое;Современное кино (2000–2020);7.098;465543;We Need to Talk About Kevin;7.4;7.4;;;;;;;;;;;;"Джокер;Комната;Эксперимент 2: Волна;Дурное воспитание;Джон Кью;Преданный садовник;Коммивояжер;Наркоз;Коллектор;Книга Генри;Трещины;Текст;Слон;Доверие;После Люсии;Студентка;Элефант;Сила стихии;Юленька;Гнев"
Я — начало;Драма;Детектив;Философское;Новинки (2020–2025);7.616;761933;I Origins;7.3;5.9;;;;;;;;;;;;"Анатомия падения;Лабиринты прошлого;Чудовище;12 разгневанных мужчин;12;Сомнение;Пикник у Висячей скалы;Однажды в Анатолии;В доме;Расемон;Преступление и наказание;Отголоски прошлого;Globe: Доктор Фауст;Идеальные дни;Успех;Плохой хороший человек;Вайолет Эвергарден. Вечность и призрак пера;Прошлые жизни;Джокер. Возмездие;Сядь за руль моей машины"
Кружева;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);5.958;838334;;0;0;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Очень хорошие девочки;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);6.059;586633;Very Good Girls;5.9;4.4;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
Лабиринты прошлого;Драма;Детектив;Философское;Новинки (2020–2025);6.492;965063;Todos lo saben;6.9;6.9;;;;;;;;;;;;"Я — начало;Анатомия падения;Чудовище;12 разгневанных мужчин;12;Сомнение;Пикник у Висячей скалы;Однажды в Анатолии;В доме;Расемон;Преступление и наказание;Отголоски прошлого;Globe: Доктор Фауст;Идеальные дни;Успех;Плохой хороший человек;Вайолет Эвергарден. Вечность и призрак пера;Прошлые жизни;Джокер. Возмездие;Сядь за руль моей машины"
Персонаж;Драма;Триллер;Философское;Классика (до 2000 года);7.445;93547;Stranger Than Fiction;7.5;6.9;;;;;;;;;;;;"Бойцовский клуб;Персона;Профессия: Репортер;С широко закрытыми глазами;Европа;Жизнь других;Догвилль;Матч Поинт;Второй шанс;Венера в мехах;Мартовские иды;Пылающий;Грех;Как я провел этим летом;Внутренняя империя;Иррациональный человек;Зильс-Мария;Волна;Ложное искушение;В ожидании варваров"
На дне;Драма;Криминал;Грустное/Трагическое;Классика (до 2000 года);7.169;325741;Eastbound & Down;8.2;0;;;;;;;;;;;;"Убить пересмешника;Ненависть;Холодное лето пятьдесят третьего;На игле;Бильярдист;Калина красная;Спящие;Полуночный ковбой;Ворошиловский стрелок;Время убивать;Мой друг Иван Лапшин;Делай как надо;Тельма и Луиза;Такси-блюз;Страна глухих;Американская история;Игла;Оливер Твист;Про уродов и людей;Клуб «Коттон»"
Воин;Драма;Боевик (Экшен);Вдохновляющее;Современное кино (2000–2020);8.054;442568;Warrior;8.1;7.4;;;;;;;;;;;;"Крид 2;Толстяк на ринге;Жестокий ринг;Одной левой;Болевой порог;Рокки;Нокдаун;Рокки 2;Гран-при;Огонь;Экипаж;Рокки 3;Рокки 4;Ле ман;Аллегро с огнем;Бой;Дни грома;Дикарь;Рокки 5;На краю"
Танцующий с волками;Драма;Исторический;Вдохновляющее;Классика (до 2000 года);8.115;2037;Dances with Wolves;8;8;;;;;;;;;;;;"Соль Земли;Председатель;Укрощение огня;Первый учитель;Старое и новое (Генеральная линия);Огненные колесницы;Прислуга;Гордость;Одиннадцать молчаливых мужчин;Император;Собор Парижской Богоматери;Харакири;Земля;Сибириада;Гамлет;Ран;Я — Куба;Тихий Дон;Девичий источник;Покаяние"
Далекие близкие;Драма;Семейный;Грустное/Трагическое;Новинки (2020–2025);7.413;4489530;;0;0;;;;;;;;;;;;"Светлячок;Вера;Когда наступает сентябрь...;Отец;Облако-рай;Лекарство;Монолог;В яранге горит огонь;Плакса;Серая Шейка;Кит;Дочь;На чужбине;Мать;Качели;Страна садов;Сашка;Осень;У озера;Мой любимый клоун"
Крученый мяч;Драма;Семейный;Вдохновляющее;Современное кино (2000–2020);7.078;634232;Trouble with the Curve;6.8;5.6;;;;;;;;;;;;"Середина 90-х;Хористы;Брат Баджранги;Гран Торино;Билли Эллиот;Маленькие женщины;Одаренная;Я — Сэм;Мистер Черч;Заплати другому;Кентавр;Преодоление;Леди Берд;Путь домой;Возвращение в Бургундию;Хардбол;Звездочки на земле;Грейси;Соло на саксофоне;В ожидании чуда"
Призрачная нить;Драма;Мелодрама;Философское;Современное кино (2000–2020);7.065;991628;Phantom Thread;7.4;8.5;;;;;;;;;;;;"45 лет;Табу;Театр;Поговори с ней;Зимняя спячка;Трудности перевода;Изгнание;Школьный вальс;О теле и душе;Патерсон;Слова;Молодость;И твою маму тоже;Жена;Мечтатели;Безмолвный свет;Париж;Нимфоманка: Часть 1;Лок;Доказательство"
Легенда Багера Ванса;Драма;Военный;Вдохновляющее;Современное кино (2000–2020);7.533;736;The Legend of Bagger Vance;6.7;5.3;;;;;;;;;;;;"Мандарины;Жизнь прекрасна;Запах женщины;Разные судьбы;В лучах солнца;Праведник;Ключи от неба;Оптимистическая трагедия;Мальчик русский;Золотые небеса;Пожары;Мальчик в полосатой пижаме;Поводырь;Зло;Воровка книг;Как складывать флаг;Межа;Холодная гора;За последней чертой;Хайтарма"
День драфта;Драма;Мелодрама;Вдохновляющее;Современное кино (2000–2020);6.837;688777;Draft Day;6.8;5.9;;;;;;;;;;;;"28 дней;Меня зовут Кхан;Хороший доктор;Работа без авторства;Миллионер из трущоб;Со склонов Кокурико;Разрисованная вуаль;Вне игры;Найти Форрестера;Вайолет Эвергарден: Вечность и призрак пера;Клуб любителей книг и пирогов из картофельных очистков;Звук металла;Танцы без правил;Завтрак на Плутоне;Мужской стриптиз;Бруклин;Трансамерика;Мажестик;Гол!;Цветы запоздалые"
Голос из камня;Драма;Фэнтези;Грустное/Трагическое;Современное кино (2000–2020);5.417;488172;Voice from the Stone;5.2;5.5;;;;;;;;;;;;"Гелий;Милые кости;Офелия;Зеленая миля;Птица;Дом из маленьких кубиков;Портрет Дориана Грея;Звери дикого Юга;История призрака;Хижина;Дориан Грей;В ожидании моря;3096 дней;25-й час;21 грамм;12 лет рабства;Чернобыль;Короткий срок 12;Капернаум;Чудо в камере №7"
Марица;Драма;Военный;Грустное/Трагическое;Классика (до 2000 года);6.921;94315;;5.9;0;;;;;;;;;;;;"Сало, или 120 дней Содома;История;Могила светлячков;Судьба человека;Бег;Охотник на оленей;Зимнее утро;Дни Турбиных;Нити;Чочара;Утомленные солнцем;Донская повесть;Легенды осени;Выбор Софи;Сорок первый;Кавказский пленник;Отчий дом;Английский пациент;Шведская спичка;Птаха"
Это — Англия;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);7.554;197450;This Is England;7.7;7.7;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан;Чужая ненависть"
Плохой хороший человек;Драма;Криминал;Философское;Новинки (2020–2025);7.89;42995;;7.4;0;;;;;;;;;;;;"Джокер. Возмездие;Личное дело судьи Ивановой;Меня это не касается;Американская история Х;Таксист;Мертвец;Тело Христово;Свой человек;Братья Карамазовы;Правосудие для всех;Остановился поезд;Место под соснами;Дикое сердце;Признайте меня виновным;Изображая жертву;Цезарь должен умереть;Хозяин тайги;Непрощенная;Параноид парк;Духless 2"
Иду на грозу;Драма;Военный;Философское;Классика (до 2000 года);7.92;42573;;7.4;0;;;;;;;;;;;;"Апокалипсис;Лакомб Люсьен;Комиссар;Жестяной барабан;Меченый атом;Мысли о свободе;Остров;Александра;Сало, или 120 дней Содома;Жизнь прекрасна;История;Могила светлячков;Судьба человека;Запах женщины;Бег;Охотник на оленей;Зимнее утро;Дни Турбиных;Нити;Чочара"
Доктор Живаго;Драма;Мелодрама;Грустное/Трагическое;Классика (до 2000 года);8.023;89676;;7.5;0;;;;;;;;;;;;"Студия 54;Анюта;Жестокий романс;Уроки французского;Кто боится Вирджинии Вульф?;Кабаре;Тени забытых предков;Простая история;Неоконченная пьеса для механического пианино;Белые росы;Слезы капали;Рассекая волны;Дни вина и роз;Филадельфия;Все о моей матери;Когда деревья были большими;Три цвета: Синий;Евгений Онегин;Девушка на мосту;Белые ночи"
Архангельские новеллы;Драма;Мелодрама;Грустное/Трагическое;Новинки (2020–2025);8.437;724073;;7.7;0;;;;;;;;;;;;"Послесловие;Судьба резидента;Молодая жена;Другая;Здорово и вечно;Сломленные;Нежный возраст;Мне бы в небо;Три истории;Онегин;Ожидания;Наша Наташа;Роль;Бедная Саша;Событие;Развод;Затишье;Приезжая;Метель;Ближний круг"
Седьмая печать;Драма;Фэнтези;Философское;Классика (до 2000 года);8.021;425;Det sjunde inseglet;8.1;9.2;;;;;;;;;;;;"Небо над Берлином;Король-рыбак;Орландо;Сны;Крылья ангела;Каминный гость;Дом из маленьких кубиков;Globe: Доктор Фауст;Портрет Дориана Грея;История призрака;Хижина;Дориан Грей;В ожидании моря;Петя по дороге в Царствие Небесное;Знахарка;Зеленая миля;Эта замечательная жизнь;12 разгневанных мужчин;Бойцовский клуб;Идиот"
Груз 200;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);6.789;259251;;7.1;6.8;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан"
Мамочка;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.698;839219;Mommy;8;7.9;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь;Ложь во спасение"
Мать и дитя;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);7.718;430672;Mother and Child;7.2;6.7;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Я остаюсь;Ложь во спасение"
Ничего личного;Драма;Мелодрама;Философское;Современное кино (2000–2020);6.202;397556;Duplicity;6.1;6.4;;;;;;;;;;;;"45 лет;Табу;Театр;Поговори с ней;Зимняя спячка;Трудности перевода;Изгнание;Школьный вальс;О теле и душе;Патерсон;Слова;Молодость;И твою маму тоже;Жена;Призрачная нить;Мечтатели;Безмолвный свет;Париж;Нимфоманка: Часть 1;Лок"
Дылда;Драма;Военный;Грустное/Трагическое;Современное кино (2000–2020);6.591;1221042;;7.2;7.8;;;;;;;;;;;;"Пожары;Мальчик в полосатой пижаме;Поводырь;Зло;Воровка книг;Как складывать флаг;Межа;Холодная гора;За последней чертой;Хайтарма;Я вас любил...;Франц;Блокпост;Сын Саула;Мусульманин;Два долгих гудка в тумане;Человек на своем месте;Песня имен;Рай;Живи и помни"
Стоянка;Драма;Мелодрама;Вдохновляющее;Новинки (2020–2025);5.285;894007;The Layover;4.8;2.1;;;;;;;;;;;;"Голос улиц;Стартап;Чемпион;Небеса обетованные;Вторая жизнь Гарольда Фрая;Королевский гамбит;Примадонна;Купе номер 6;Фуэте;Вкус жизни;Тренер;Со дна вершины;Игра в четыре руки;Я счастливая;Молодые;Шестнадцатая весна;Паутинка бабьего лета;Белый лебедь;Ледяной драйв;Отвези меня домой"
Солнцепек;Драма;Криминал;Грустное/Трагическое;Новинки (2020–2025);7.301;4518766;;4.5;0;;;;;;;;;;;;"Цвет шафрана;Родная кровь;Неподдающиеся;Колыбельная для брата;Дубравка;Опасный возраст;Мы еще здесь;Необстрелянные;Минута молчания;Испытание;Стукачка;Город мальчиков;Выскочка;Зимний путь;Хорошая женщина;Опекун;Заяц над бездной;Сторож;40;Зачинщики"
Нимфоманка: Часть 1;Драма;Мелодрама;Философское;Современное кино (2000–2020);7.055;669260;Nymphomaniac: Vol. I;6.9;7;;;;;;;;;;;;"45 лет;Табу;Театр;Поговори с ней;Зимняя спячка;Трудности перевода;Изгнание;Школьный вальс;О теле и душе;Патерсон;Слова;Молодость;И твою маму тоже;Жена;Призрачная нить;Мечтатели;Безмолвный свет;Париж;Лок;Доказательство"
Королевский гамбит;Драма;Мелодрама;Вдохновляющее;Новинки (2020–2025);7.633;1140302;Critical Thinking;6.5;7.3;;;;;;;;;;;;"Голос улиц;Стартап;Чемпион;Небеса обетованные;Вторая жизнь Гарольда Фрая;Примадонна;Купе номер 6;Фуэте;Вкус жизни;Тренер;Со дна вершины;Игра в четыре руки;Я счастливая;Молодые;Шестнадцатая весна;Паутинка бабьего лета;Белый лебедь;Ледяной драйв;Отвези меня домой;Квартет Гварнери"
Бойцовая рыбка;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);7.669;3751;Rumble Fish;7.1;6.3;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Левиафан;Чужая ненависть"
Мальчик русский;Драма;Военный;Вдохновляющее;Новинки (2020–2025);6.063;1046004;;6.3;0;;;;;;;;;;;;"В лучах солнца;Праведник;Ключи от неба;Золотые небеса;Жизнь прекрасна;Запах женщины;Мандарины;Разные судьбы;Легенда Багера Ванса;Оптимистическая трагедия;Укрытие;Бал;Осенние корабли;Мысли о свободе;Дорога к матери;И на камнях растут деревья;Аманат;Моя мама;Снегирь;Я не вернусь"
Мира;Драма;Семейный;Вдохновляющее;Новинки (2020–2025);7.478;1227997;;5.8;0;;;;;;;;;;;;"CODA: Ребенок глухих родителей;Девочка из города;Особенные;Ты не одинок;Свет вокруг;Исчезнувшее время: Мальчик, который вернулся;Дорога перемен;Палмер;Горечь и сладость;Слушая тишину;Вызов;Благочестивая Марта;От печали до радости;Еще вчера;Мой мальчик;Третий тайм;Минари;Я делаю шаг;Прошу слова;Тронутые"
Купи меня;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);6.339;980839;;5.3;0;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан"
Страна глухих;Драма;Криминал;Грустное/Трагическое;Классика (до 2000 года);7.621;41087;;7.4;0;;;;;;;;;;;;"Убить пересмешника;Ненависть;Холодное лето пятьдесят третьего;На игле;Бильярдист;Калина красная;Спящие;Полуночный ковбой;На дне;Ворошиловский стрелок;Время убивать;Мой друг Иван Лапшин;Делай как надо;Тельма и Луиза;Такси-блюз;Американская история;Игла;Оливер Твист;Про уродов и людей;Клуб «Коттон»"
Стартап;Драма;Мелодрама;Вдохновляющее;Новинки (2020–2025);7.616;972878;StartUp;7.8;0;;;;;;;;;;;;"Голос улиц;Чемпион;Небеса обетованные;Вторая жизнь Гарольда Фрая;Королевский гамбит;Примадонна;Купе номер 6;Фуэте;Вкус жизни;Тренер;Со дна вершины;Игра в четыре руки;Я счастливая;Молодые;Шестнадцатая весна;Паутинка бабьего лета;Белый лебедь;Ледяной драйв;Отвези меня домой;Квартет Гварнери"
Мобильник;Драма;Мелодрама;Грустное/Трагическое;Современное кино (2000–2020);5.033;738387;Cell;4.4;3.9;;;;;;;;;;;;"Малышка на миллион;Форма голоса;Искупление;Семь жизней;Танцующая в темноте;Эйфория;Мамочка;Чтец;Хорошо быть тихоней;Крейцерова соната;Запомните меня такой;Любить;Великий Гэтсби;Дом из песка и тумана;Июльский дождь;Одинокий мужчина;Аритмия;И все же Лоранс;Мать и дитя;Я остаюсь"
